User name,User id,External system id,Barcode,Active,Type,Patron group,Departments,Proxy for,Last name,First name,Middle name,Preferred first name,Email,Phone,Mobile phone,Date of birth,Addresses,Preferred contact type id,Enrollment date,Expiration date,Created date,Updated date,Tags,Custom fields
username:985,5d44a12b-4497-4fc8-8ecb-3d37ccd38bc3,externalsystemid:985,985,true,,"UC Stu/Graduate, Quarter",,,Cha,Barbara,C,,fse.hosting@ebsco.org,907-265-8343,,1963-01-11 00:00:00.000Z,f438868e-6eeb-43ff-aa06-ef6765995041;United States;2300 Veltri Drive;;Anchorage;AK;99501;true;Home Address,1,,2025-12-01 00:00:00.000Z,2022-08-09 21:40:11.785Z,2022-08-09 21:40:11.785Z,,
username:984,9d4fd01f-fafb-4936-b078-60786fe53ac7,externalsystemid:984,984,true,,"UC Stu/Graduate, Quarter",,,Norwood,Claire,S,,fse.hosting@ebsco.org,865-436-6023,,1962-07-14 00:00:00.000Z,92ded6c5-8f5e-4e11-bdaf-f0cca96446e4;United States;4382 Wiseman Street;;Gatlinburg;TN;37738;true;Home Address,1,,2025-12-01 00:00:00.000Z,2022-08-09 21:40:11.730Z,2022-08-09 21:40:11.730Z,,
username:983,40e382ca-da13-4300-8fec-1e297dedc128,externalsystemid:983,983,true,,"UC Stu/Graduate, Quarter",,,Griffin,Jose,P,,fse.hosting@ebsco.org,413-692-7845,,1993-08-23 00:00:00.000Z,cf3dcb3b-2f51-4b37-a87c-605c081172be;United States;3627 Hilltop Street;;Springfield;MA;1103;true;Home Address,1,,2025-12-01 00:00:00.000Z,2022-08-09 21:40:11.771Z,2022-08-09 21:40:11.771Z,,
username:982,e2dfd45d-6b89-4ae0-bc5b-fd803db2d7a6,externalsystemid:982,982,true,,"UC Stu/Graduate, Quarter",,,Dalton,Dwight,T,,fse.hosting@ebsco.org,937-612-7351,,1958-11-05 00:00:00.000Z,69cb67c9-10c6-4f88-a744-59aac9d7cb45;United States;962 Harter Street;;Mansfield;OH;44907;true;Home Address,1,,2025-12-01 00:00:00.000Z,2022-08-09 21:40:11.716Z,2022-08-09 21:40:11.716Z,,
username:981,dcfde7d1-eeb5-44e1-ac13-f57f195d5bd9,externalsystemid:981,981,true,,"UC Stu/Graduate, Quarter",,,Staggs,Karen,E,,fse.hosting@ebsco.org,202-323-4744,,1991-10-22 00:00:00.000Z,870fd11a-b364-49f2-91b0-cfaf6cb521bb;United States;3567 Rhode Island Avenue;;Washington;DC;20004;true;Home Address,1,,2025-12-01 00:00:00.000Z,2022-08-09 21:40:11.704Z,2022-08-09 21:40:11.704Z,,
username:980,9b87f957-8fd6-466b-9d96-c28b81f2206b,externalsystemid:980,980,true,,"UC Stu/Graduate, Quarter",,,Thomas,Shelly,E,,fse.hosting@ebsco.org,714-685-0715,,1982-11-04 00:00:00.000Z,362ffe22-d220-487d-a2a2-fa50ee649148;United States;4754 Alpaca Way;;Orange;CA;92665;true;Home Address,1,,2025-12-01 00:00:00.000Z,2022-08-09 21:40:11.757Z,2022-08-09 21:40:11.757Z,,
username:98,d8869fca-2e89-49ae-92b5-1505bf3cd597,externalsystemid:98,98,true,,"UC Stu/Graduate, Quarter",,,Benavides,Susan,G,,fse.hosting@ebsco.org,479-928-6082,,1955-09-28 00:00:00.000Z,f0171a4b-cc05-4011-955a-f08c83895a7d;United States;4251 Cambridge Court;;Mansfield;AR;72944;true;Home Address,1,,2025-12-01 00:00:00.000Z,2022-08-09 21:40:02.064Z,2022-08-09 21:40:02.064Z,,
username:978,2ff89a22-979b-41d7-a7e3-d368693c280a,externalsystemid:978,978,true,,"UC Stu/Graduate, Quarter",,,Fetzer,Donna,K,,fse.hosting@ebsco.org,912-691-7744,,1973-03-09 00:00:00.000Z,17636e35-f0bf-4465-8f9c-e22d4b71770a;United States;3967 Yorkie Lane;;Savannah;GA;31405;true;Home Address,1,,2025-12-01 00:00:00.000Z,2022-08-09 21:40:11.744Z,2022-08-09 21:40:11.744Z,,
username:977,9c9e2684-f309-49f8-82e2-87ce8191f0be,externalsystemid:977,977,true,,"UC Stu/Graduate, Quarter",,,Bannister,Willie,W,,fse.hosting@ebsco.org,323-809-3817,,1995-11-15 00:00:00.000Z,bad79749-33a2-4cd1-aebb-b2a753f0e845;United States;2214 Hillhaven Drive;;Los Angeles;CA;90017;true;Home Address,1,,2025-12-01 00:00:00.000Z,2022-08-09 21:40:11.690Z,2022-08-09 21:40:11.690Z,,
username:976,a6d6ec79-4995-4d16-8eff-4144993ba4d7,externalsystemid:976,976,true,,"UC Stu/Graduate, Quarter",,,Burkholder,Kathryn,H,,fse.hosting@ebsco.org,813-390-1248,,1996-02-17 00:00:00.000Z,c7fde6cf-5502-438e-bd16-1d7ea527ae53;United States;1798 Marion Drive;;Polk City;FL;33868;true;Home Address,1,,2025-12-01 00:00:00.000Z,2022-08-09 21:40:11.677Z,2022-08-09 21:40:11.677Z,,
username:975,f428de26-93e6-440e-8813-f60ff4eaac34,externalsystemid:975,975,true,,"UC Stu/Graduate, Quarter",,,Ruiz,Peter,J,,fse.hosting@ebsco.org,479-292-5269,,1995-08-12 00:00:00.000Z,dfcf7667-38ea-4a7a-a89a-71067c60f569;United States;1182 Green Hill Road;;Salus;AR;72854;true;Home Address,1,,2025-12-01 00:00:00.000Z,2022-08-09 21:40:11.664Z,2022-08-09 21:40:11.664Z,,
username:973,0de75e09-6eff-4416-9e6c-9ab959d93138,externalsystemid:973,973,true,,"UC Stu/Graduate, Quarter",,,Bowman,Arthur,J,,fse.hosting@ebsco.org,817-548-2833,,1957-10-06 00:00:00.000Z,892d2275-7748-42d5-a738-83d478f2b2b5;United States;3261 Jones Street;;Arlington;TX;76010;true;Home Address,1,,2025-12-01 00:00:00.000Z,2022-08-09 21:40:11.419Z,2022-08-09 21:40:11.419Z,,
username:972,07c63482-36fa-46e1-8db2-8edecef05c4a,externalsystemid:972,972,true,,"UC Stu/Graduate, Quarter",,,Crow,David,C,,fse.hosting@ebsco.org,870-833-7327,,1974-08-19 00:00:00.000Z,1b21d1b8-e3dd-420a-82d2-6bd565d363cf;United States;1777 Cedar Street;;Pine Bluff;AR;71601;true;Home Address,1,,2025-12-01 00:00:00.000Z,2022-08-09 21:40:11.406Z,2022-08-09 21:40:11.406Z,,
username:970,00accc21-590a-4c34-83a0-e1c545e6fd3d,externalsystemid:970,970,true,,"UC Stu/Graduate, Quarter",,,Marks,Raymond,B,,fse.hosting@ebsco.org,845-503-3597,,1954-09-16 00:00:00.000Z,68162c70-cf07-411d-875e-40cb7831c0ea;United States;2044 Scott Street;;Long Island City;NY;11101;true;Home Address,1,,2025-12-01 00:00:00.000Z,2022-08-09 21:40:11.624Z,2022-08-09 21:40:11.624Z,,
username:97,9ad9d806-6cd5-4943-b1b5-2338fe784151,externalsystemid:97,97,true,,"UC Stu/Graduate, Quarter",,,Harrison,Eric,P,,fse.hosting@ebsco.org,715-942-9677,,1974-09-19 00:00:00.000Z,274e1be9-8e07-4710-bab4-94079c05be3c;United States;2474 Orphan Road;;Appleton;WI;54911;true;Home Address,1,,2025-12-01 00:00:00.000Z,2022-08-09 21:40:02.122Z,2022-08-09 21:40:02.122Z,,
username:968,ec3fc46a-4508-4546-afb8-6415ddfe2395,externalsystemid:968,968,true,,"UC Stu/Graduate, Quarter",,,Bass,Stephen,M,,fse.hosting@ebsco.org,704-480-8772,,1978-02-01 00:00:00.000Z,e55c4bc9-3ff0-45dc-a2cb-1b6f1f559a5f;United States;2111 Kooter Lane;;Shelby;NC;28150;true;Home Address,1,,2025-12-01 00:00:00.000Z,2022-08-09 21:40:11.391Z,2022-08-09 21:40:11.391Z,,
username:967,f09a259a-63b9-4ee4-95e2-dd0f9256ddd6,externalsystemid:967,967,true,,"UC Stu/Graduate, Quarter",,,Thompson,Carlos,T,,fse.hosting@ebsco.org,540-462-4540,,1955-07-05 00:00:00.000Z,1889b947-e5d6-4da5-b002-c41dce3ecef3;United States;661 Jehovah Drive;;Lexington;VA;24450;true;Home Address,1,,2025-12-01 00:00:00.000Z,2022-08-09 21:40:11.488Z,2022-08-09 21:40:11.488Z,,
username:966,b9fd4e89-cd25-4551-a121-7cbcd894aee4,externalsystemid:966,966,true,,"UC Stu/Graduate, Quarter",,,Slater,Mike,M,,fse.hosting@ebsco.org,830-738-8590,,1987-03-02 00:00:00.000Z,20eff4fc-3ade-4453-b655-544b4d679d34;United States;3891 Crestview Terrace;;San Antonio;TX;78212;true;Home Address,1,,2025-12-01 00:00:00.000Z,2022-08-09 21:40:11.474Z,2022-08-09 21:40:11.474Z,,
username:964,de1989e1-eb5d-474d-a505-af6be7f764a3,externalsystemid:964,964,true,,"UC Stu/Graduate, Quarter",,,Knight,Stephanie,J,,fse.hosting@ebsco.org,830-505-6349,,1993-09-15 00:00:00.000Z,5f0eae1c-8ca7-4317-ae4d-2e11d784bb99;United States;2563 Farland Avenue;;Pleasanton;TX;74135;true;Home Address,1,,2025-12-01 00:00:00.000Z,2022-08-09 21:40:11.462Z,2022-08-09 21:40:11.462Z,,
username:963,eba047bb-2853-4d05-83e7-f74554f55ca4,externalsystemid:963,963,true,,"UC Stu/Graduate, Quarter",,,Dansby,Gertrude,J,,fse.hosting@ebsco.org,706-857-1543,,1952-10-11 00:00:00.000Z,e1a8c435-a07c-4372-925c-4518594aa99e;United States;3965 Riverside Drive;;Summerville;GA;30747;true;Home Address,1,,2025-12-01 00:00:00.000Z,2022-08-09 21:40:11.379Z,2022-08-09 21:40:11.379Z,,
username:962,30f0cf59-c532-403e-a742-a85e3136c3d5,externalsystemid:962,962,true,,"UC Stu/Graduate, Quarter",,,Durrett,Thelma,W,,fse.hosting@ebsco.org,614-942-7317,,1964-06-08 00:00:00.000Z,a26531da-4512-464b-b921-ca5fa2395796;United States;659 Andell Road;;Columbus;OH;43215;true;Home Address,1,,2025-12-01 00:00:00.000Z,2022-08-09 21:40:11.448Z,2022-08-09 21:40:11.448Z,,
username:961,cca2193c-83cc-447e-8801-055a95a543cc,externalsystemid:961,961,true,,"UC Stu/Graduate, Quarter",,,Emanuel,Jody,D,,fse.hosting@ebsco.org,605-655-2896,,1955-09-05 00:00:00.000Z,e0aad56a-963c-4bde-97d0-d2decae5b110;United States;3478 Ryan Road;;Yankton;SD;57078;true;Home Address,1,,2025-12-01 00:00:00.000Z,2022-08-09 21:40:11.366Z,2022-08-09 21:40:11.366Z,,
username:960,13704cfd-8ba3-4fe8-a24b-53174bac53d6,externalsystemid:960,960,true,,"UC Stu/Graduate, Quarter",,,Minor,Thomas,I,,fse.hosting@ebsco.org,615-317-0523,,1954-10-10 00:00:00.000Z,6c8fa9db-6aab-4ec8-aa90-393042b88716;United States;3060 Frum Street;;Nashville;TN;37211;true;Home Address,1,,2025-12-01 00:00:00.000Z,2022-08-09 21:40:11.432Z,2022-08-09 21:40:11.432Z,,
username:96,2602e00e-93d7-483b-890e-1dbaa242290b,externalsystemid:96,96,true,,"UC Stu/Graduate, Quarter",,,Alvarez,Misty,V,,fse.hosting@ebsco.org,616-821-1606,,1975-01-10 00:00:00.000Z,5a454586-d714-40ad-9aa2-2ae3cd376a49;United States;2735 Kimberly Way;;Kentwood;MI;49512;true;Home Address,1,,2025-12-01 00:00:00.000Z,2022-08-09 21:40:02.108Z,2022-08-09 21:40:02.108Z,,
username:959,4f19d4a4-936b-400e-8a53-506f68d92260,externalsystemid:959,959,true,,"UC Stu/Graduate, Quarter",,,Lee,Virginia,C,,fse.hosting@ebsco.org,215-812-3183,,1964-10-02 00:00:00.000Z,52c2f690-c74f-425f-8c0d-303ed97ef8ae;United States;4582 Glen Falls Road;;Bensalem;PA;19020;true;Home Address,1,,2025-12-01 00:00:00.000Z,2022-08-09 21:40:11.352Z,2022-08-09 21:40:11.352Z,,
username:958,56053ef7-bd8b-48ee-b059-82baa132e06a,externalsystemid:958,958,true,,"UC Stu/Graduate, Quarter",,,Torres,Jennifer,J,,fse.hosting@ebsco.org,406-453-2363,,1979-08-06 00:00:00.000Z,2991c848-8c60-4822-8dc8-7c0c83d4448f;United States;2521 West Fork Street;;Great Falls;MT;59401;true;Home Address,1,,2025-12-01 00:00:00.000Z,2022-08-09 21:40:11.256Z,2022-08-09 21:40:11.256Z,,
username:957,5c6f0b05-d4c9-4787-8f59-f321927dbd86,externalsystemid:957,957,true,,"UC Stu/Graduate, Quarter",,,Naquin,Gladys,E,,fse.hosting@ebsco.org,757-456-7916,,1975-09-23 00:00:00.000Z,b1a8836b-e67d-4969-a924-3f5afdbc501e;United States;1017 Murry Street;;Virginia Beach;VA;23462;true;Home Address,1,,2025-12-01 00:00:00.000Z,2022-08-09 21:40:11.338Z,2022-08-09 21:40:11.338Z,,
username:955,571cc260-1e07-4cb0-9fae-d3c54d4a0bf6,externalsystemid:955,955,true,,"UC Stu/Graduate, Quarter",,,Miller,Jerome,R,,fse.hosting@ebsco.org,814-450-6694,,1981-05-13 00:00:00.000Z,51a61afc-b400-4675-86fc-ee775c19faf9;United States;2243 Stutler Lane;;Erie;PA;16501;true;Home Address,1,,2025-12-01 00:00:00.000Z,2022-08-09 21:40:11.323Z,2022-08-09 21:40:11.323Z,,
username:953,44a20db5-0dc5-47f2-97c3-08301ac682e3,externalsystemid:953,953,true,,"UC Stu/Graduate, Quarter",,,Burch,Christian,E,,fse.hosting@ebsco.org,224-588-1600,,1957-03-29 00:00:00.000Z,876ded69-01ec-449e-888e-2d931042165a;United States;2235 Victoria Street;;Buffalo Grove;IL;60089;true;Home Address,1,,2025-12-01 00:00:00.000Z,2022-08-09 21:40:11.242Z,2022-08-09 21:40:11.242Z,,
username:949,dc551f67-d5ed-4e93-92fc-6d23a9643e02,externalsystemid:949,949,true,,"UC Stu/Graduate, Quarter",,,Coronado,Cecil,V,,fse.hosting@ebsco.org,510-782-8477,,1972-06-14 00:00:00.000Z,0fedeb0c-00a7-46ed-b046-a7644fac9ad1;United States;3325 Green Avenue;;Hayward;CA;94545;true;Home Address,1,,2025-12-01 00:00:00.000Z,2022-08-09 21:40:11.228Z,2022-08-09 21:40:11.228Z,,
username:948,494d1cf2-156b-4b65-a33d-b02da749915b,externalsystemid:948,948,true,,"UC Stu/Graduate, Quarter",,,Mack,Helen,M,,fse.hosting@ebsco.org,501-428-0188,,1980-02-17 00:00:00.000Z,668d79a3-4d62-4450-a9f4-6d0b0e4369d5;United States;545 Mulberry Avenue;;Little Rock;AR;72212;true;Home Address,1,,2025-12-01 00:00:00.000Z,2022-08-09 21:40:11.310Z,2022-08-09 21:40:11.310Z,,
username:946,4525f7db-bae1-40b0-9d7a-24908b683c73,externalsystemid:946,946,true,,"UC Stu/Graduate, Quarter",,,Vedder,Jody,L,,fse.hosting@ebsco.org,717-829-6915,,1974-02-26 00:00:00.000Z,5bd01689-7e29-4e3b-8736-ae5ba77c4ed4;United States;444 Simpson Avenue;;Harrisburg;PA;17101;true;Home Address,1,,2025-12-01 00:00:00.000Z,2022-08-09 21:40:11.295Z,2022-08-09 21:40:11.295Z,,
username:944,302737b8-d175-42bb-8b27-2010203627cf,externalsystemid:944,944,true,,"UC Stu/Graduate, Quarter",,,Giardina,Ricky,V,,fse.hosting@ebsco.org,609-394-9939,,1964-11-20 00:00:00.000Z,3f834809-6916-4e6b-8bb0-0a69c4547164;United States;2086 Lake Road;;Trenton;NJ;8608;true;Home Address,1,,2025-12-01 00:00:00.000Z,2022-08-09 21:40:11.282Z,2022-08-09 21:40:11.282Z,,
username:943,a067923d-9a4a-4bb6-97ef-35b5a36f632f,externalsystemid:943,943,true,,"UC Stu/Graduate, Quarter",,,Aldaco,Dwight,V,,fse.hosting@ebsco.org,618-399-6975,,1984-06-24 00:00:00.000Z,0d7114ce-acdc-4dcd-b712-8fb11127933a;United States;3440 Eagle Street;;East Saint Louis;IL;62203;true;Home Address,1,,2025-12-01 00:00:00.000Z,2022-08-09 21:40:11.214Z,2022-08-09 21:40:11.214Z,,
username:942,c57b51db-eddc-4dc4-aa05-ffa4f9f942bf,externalsystemid:942,942,true,,"UC Stu/Graduate, Quarter",,,Lawton,Harold,A,,fse.hosting@ebsco.org,504-689-6632,,1959-05-18 00:00:00.000Z,b985201f-50a6-4717-b9ee-1397b4a2a981;United States;102 Big Indian;;Lafitte;LA;70067;true;Home Address,1,,2025-12-01 00:00:00.000Z,2022-08-09 21:40:11.201Z,2022-08-09 21:40:11.201Z,,
username:941,1dda557c-8fe0-4433-bf94-6f679805941f,externalsystemid:941,941,true,,"UC Stu/Graduate, Quarter",,,Krueger,Basil,C,,fse.hosting@ebsco.org,740-459-8883,,1956-10-05 00:00:00.000Z,9edadfda-2705-4584-b9ae-1b49e74052d7;United States;2239 Irving Road;;Cambridge;OH;43725;true;Home Address,1,,2025-12-01 00:00:00.000Z,2022-08-09 21:40:11.269Z,2022-08-09 21:40:11.269Z,,
username:940,7deaee5a-6267-4ab9-b54e-c4bae4807318,externalsystemid:940,940,true,,"UC Stu/Graduate, Quarter",,,Brill,Crystal,W,,fse.hosting@ebsco.org,660-825-5203,,1955-04-01 00:00:00.000Z,d87606e2-70fb-4c65-a8c2-d945400a5ee7;United States;1329 Oak Lane;;Elmer;MO;63538;true;Home Address,1,,2025-12-01 00:00:00.000Z,2022-08-09 21:40:11.187Z,2022-08-09 21:40:11.187Z,,
username:938,e9291485-d1f8-4b5f-b521-fc733092efcc,externalsystemid:938,938,true,,"UC Stu/Graduate, Quarter",,,Grow,Leroy,D,,fse.hosting@ebsco.org,402-876-4306,,1992-08-16 00:00:00.000Z,8be90e8b-5894-4d48-a7ae-aaf5431489d1;United States;1413 Bungalow Road;;Crab Orchard;NE;68332;true;Home Address,1,,2025-12-01 00:00:00.000Z,2022-08-09 21:40:11.174Z,2022-08-09 21:40:11.174Z,,
username:937,4680c80c-4391-4939-8ccc-3450f3d52cbc,externalsystemid:937,937,true,,"UC Stu/Graduate, Quarter",,,Watts,Francisco,B,,fse.hosting@ebsco.org,260-471-4330,,1977-07-19 00:00:00.000Z,f034ba13-83f4-4949-9021-481c7dabb525;United States;3328 Windy Ridge Road;;Fort Wayne;IN;46805;true;Home Address,1,,2025-12-01 00:00:00.000Z,2022-08-09 21:40:11.159Z,2022-08-09 21:40:11.159Z,,
username:936,ab4c531f-9463-43ed-ac0b-1e78d4aaa95a,externalsystemid:936,936,true,,"UC Stu/Graduate, Quarter",,,Crum,Paul,K,,fse.hosting@ebsco.org,573-433-9357,,1953-07-07 00:00:00.000Z,78c547e4-ba7e-4500-a485-cea14925013f;United States;2009 Maple Court;;Saint Louis;MO;63101;true;Home Address,1,,2025-12-01 00:00:00.000Z,2022-08-09 21:40:11.092Z,2022-08-09 21:40:11.092Z,,
username:935,6744de5e-7014-4ec7-8c40-ad5f37adc049,externalsystemid:935,935,true,,"UC Stu/Graduate, Quarter",,,Henricks,Joshua,T,,fse.hosting@ebsco.org,423-363-8418,,1995-05-02 00:00:00.000Z,9887ca52-b874-4f71-a639-28d598a36017;United States;1902 Public Works Drive;;Oneida;TN;37841;true;Home Address,1,,2025-12-01 00:00:00.000Z,2022-08-09 21:40:11.145Z,2022-08-09 21:40:11.145Z,,
username:934,439da047-c0f2-4bf0-85a4-80c9d08cdd4c,externalsystemid:934,934,true,,"UC Stu/Graduate, Quarter",,,Turpin,Robert,P,,fse.hosting@ebsco.org,810-245-8559,,1958-04-30 00:00:00.000Z,fa4fb6f1-a6a2-46bc-aa87-61daca6b05c3;United States;3471 Don Jackson Lane;;Lapeer;MI;48446;true;Home Address,1,,2025-12-01 00:00:00.000Z,2022-08-09 21:40:11.079Z,2022-08-09 21:40:11.079Z,,
username:933,969e75ad-2eed-45c7-8aa7-8e7bb4905fcb,externalsystemid:933,933,true,,"UC Stu/Graduate, Quarter",,,Myers,Eric,G,,fse.hosting@ebsco.org,678-488-2920,,1972-01-15 00:00:00.000Z,3b9608c1-fb64-4c93-887a-904d30d8d3dd;United States;3817 Adonais Way;;Atlanta;GA;30303;true;Home Address,1,,2025-12-01 00:00:00.000Z,2022-08-09 21:40:11.132Z,2022-08-09 21:40:11.132Z,,
username:932,74f4067b-349f-44ef-9aa9-b4aa3a83c81a,externalsystemid:932,932,true,,"UC Stu/Graduate, Quarter",,,Cole,Willie,E,,fse.hosting@ebsco.org,646-739-9008,,1975-02-17 00:00:00.000Z,7edfffed-197e-4a0f-972b-011829b14905;United States;1013 Forest Avenue;;Elmsford;NY;10523;true;Home Address,1,,2025-12-01 00:00:00.000Z,2022-08-09 21:40:11.065Z,2022-08-09 21:40:11.065Z,,
username:930,0964616a-8ad7-4f5c-b644-756e4924a52c,externalsystemid:930,930,true,,"UC Stu/Graduate, Quarter",,,Maynard,Katina,A,,fse.hosting@ebsco.org,863-585-0023,,1971-10-03 00:00:00.000Z,00282eac-f5d7-4889-b6f6-fd407e1c31ca;United States;498 Oakdale Avenue;;Tampa;FL;33614;true;Home Address,1,,2025-12-01 00:00:00.000Z,2022-08-09 21:40:11.119Z,2022-08-09 21:40:11.119Z,,
username:929,0e9e4c1c-c667-4a3b-9fbc-cf7cd2c044a4,externalsystemid:929,929,true,,"UC Stu/Graduate, Quarter",,,Wiley,Clara,B,,fse.hosting@ebsco.org,919-613-2926,,1976-12-05 00:00:00.000Z,4b7d3fac-b442-4b65-9bb4-68df1bc1be07;United States;3239 Nancy Street;;Durham;NC;27701;true;Home Address,1,,2025-12-01 00:00:00.000Z,2022-08-09 21:40:11.050Z,2022-08-09 21:40:11.050Z,,
username:926,9194797b-2e25-44c2-8441-24fc69491d33,externalsystemid:926,926,true,,"UC Stu/Graduate, Quarter",,,Howard,Robert,K,,fse.hosting@ebsco.org,602-541-6077,,1989-11-01 00:00:00.000Z,674de7b6-e89f-4135-a45f-2b2d600705f4;United States;1203 Coplin Avenue;;Gilbert;AZ;85233;true;Home Address,1,,2025-12-01 00:00:00.000Z,2022-08-09 21:40:11.105Z,2022-08-09 21:40:11.105Z,,
username:925,66d72901-7775-4d87-8d5d-d597728bbd1f,externalsystemid:925,925,true,,"UC Stu/Graduate, Quarter",,,Davis,Marianela,A,,fse.hosting@ebsco.org,410-489-3839,,1978-03-18 00:00:00.000Z,b7479faf-dc8c-48ff-aba4-a018dc43e239;United States;4447 Columbia Boulevard;;Glenwood;MD;21738;true;Home Address,1,,2025-12-01 00:00:00.000Z,2022-08-09 21:40:11.036Z,2022-08-09 21:40:11.036Z,,
username:924,1c087b01-02a1-43c3-8aac-02c8180fd8f0,externalsystemid:924,924,true,,"UC Stu/Graduate, Quarter",,,Williams,Anthony,I,,fse.hosting@ebsco.org,773-399-2216,,1968-06-26 00:00:00.000Z,03f043dd-402a-4c54-9692-3a7a30ee0b65;United States;2252 Oakmound Drive;;Park Ridge;IL;60068;true;Home Address,1,,2025-12-01 00:00:00.000Z,2022-08-09 21:40:11.008Z,2022-08-09 21:40:11.008Z,,
